0.45,AA
0.90,KK
1.35,QQ
1.80,JJ
2.26,TT
2.56,AKs
3.01,99
3.31,AQs
4.22,AKo
4.52,AJs
4.82,KQs
5.27,88
5.58,ATs
6.48,AQo
6.78,KJs
7.08,QJs
7.39,KTs
8.29,AJo
9.20,KQo
9.50,QTs
9.80,A9s
10.25,77
11.16,ATo
11.46,JTs
12.36,KJo
12.66,A8s
12.97,K9s
13.87,QJo
14.17,A7s
15.08,KTo
15.38,Q9s
15.68,A5s
16.13,66
17.04,QTo
17.34,A6s
17.64,J9s
18.55,A9o
18.85,A4s
19.15,T9s
19.45,K8s
20.36,JTo
20.66,A3s
20.96,K7s
21.87,A8o
22.17,Q8s
23.07,K9o
23.37,A2s
23.68,J8s
23.98,K6s
24.43,55
24.73,T8s
25.64,A7o
25.94,98s
26.84,Q9o
27.14,K5s
28.05,A5o
28.95,J9o
29.26,Q7s
30.16,T9o
31.07,A6o
31.37,K4s
32.27,K8o
33.18,A4o
33.48,J7s
33.78,Q6s
34.08,T7s
34.38,K3s
34.69,97s
34.99,87s
35.89,A3o
36.34,44
36.65,Q5s
37.55,K7o
37.85,K2s
38.76,Q8o
39.66,J8o
39.96,Q4s
40.87,A2o
41.77,T8o
42.68,K6o
42.98,J6s
43.28,76s
43.58,T6s
44.49,98o
44.79,86s
45.09,Q3s
45.39,96s
45.70,J5s
46.60,K5o
46.90,Q2s
47.20,J4s
47.66,33
48.56,Q7o
48.86,65s
49.77,K4o
50.07,75s
50.98,J7o
51.28,J3s
52.18,T7o
52.48,T5s
52.79,85s
53.69,Q6o
54.60,87o
54.90,95s
55.80,97o
56.71,K3o
57.01,T4s
57.31,J2s
57.61,54s
58.52,Q5o
58.82,64s
59.12,T3s
60.03,K2o
60.48,22
60.78,74s
61.68,Q4o
61.99,T2s
62.29,84s
63.19,76o
64.10,J6o
64.40,94s
65.30,86o
66.21,T6o
66.51,53s
67.42,96o
67.72,93s
68.62,Q3o
69.53,J5o
69.83,63s
70.13,43s
70.43,92s
71.34,Q2o
71.64,73s
72.54,J4o
73.45,65o
73.75,83s
74.66,75o
74.96,52s
75.26,82s
76.16,85o
77.07,T5o
77.97,J3o
78.88,95o
79.18,42s
80.09,54o
80.39,62s
81.29,T4o
82.20,J2o
82.50,72s
83.40,64o
83.71,32s
84.61,T3o
85.52,74o
86.42,84o
87.33,T2o
88.23,94o
89.14,53o
90.04,93o
90.95,63o
91.85,43o
92.76,92o
93.66,73o
94.57,83o
95.47,52o
96.38,82o
97.28,42o
98.19,62o
99.09,72o
100.00,32o
