entry,at,order
"The player ""Mathematician @ SkC_IGMS6x"" quits the game with a stack of 0.",2022-07-21T21:46:33.157Z,165843999315700
"-- ending hand #52 --",2022-07-21T21:46:27.126Z,165843998712601
"""Big Kenny @ kjkGhe-DIG"" collected 2580 from pot with Two Pair, A's & 8's (combination: A♦, A♣, 8♦, 8♠, Q♣)",2022-07-21T21:46:27.126Z,165843998712600
"River: J♦, 4♣, Q♣, A♣ [8♠]",2022-07-21T21:46:23.125Z,165843998312500
"Turn: J♦, 4♣, Q♣ [A♣]",2022-07-21T21:46:19.091Z,165843997909100
"Flop:  [J♦, 4♣, Q♣]",2022-07-21T21:46:15.041Z,165843997504100
"""Mathematician @ SkC_IGMS6x"" shows a A♠, 3♠.",2022-07-21T21:46:11.028Z,165843997102801
"""Big Kenny @ kjkGhe-DIG"" shows a 8♦, A♦.",2022-07-21T21:46:11.028Z,165843997102800
"""Big Kenny @ kjkGhe-DIG"" calls 1290",2022-07-21T21:46:10.159Z,165843997015900
"""Mathematician @ SkC_IGMS6x"" raises to 1290 and go all in",2022-07-21T21:46:09.086Z,165843996908600
"""Big Kenny @ kjkGhe-DIG"" posts a big blind of 500",2022-07-21T21:46:06.426Z,165843996642605
"""Mathematician @ SkC_IGMS6x"" posts a small blind of 250",2022-07-21T21:46:06.426Z,165843996642604
"Your hand is 8♦, A♦",2022-07-21T21:46:06.426Z,165843996642602
"Player stacks: #4 ""Big Kenny @ kjkGhe-DIG"" (6710) | #6 ""Mathematician @ SkC_IGMS6x"" (1290)",2022-07-21T21:46:06.426Z,165843996642601
"-- starting hand #52  (No Limit Texas Hold'em) (dealer: ""Mathematician @ SkC_IGMS6x"") --",2022-07-21T21:46:06.426Z,165843996642600
"-- ending hand #51 --",2022-07-21T21:46:03.429Z,165843996342902
"""Mathematician @ SkC_IGMS6x"" collected 500 from pot",2022-07-21T21:46:03.429Z,165843996342901
"Uncalled bet of 250 returned to ""Mathematician @ SkC_IGMS6x""",2022-07-21T21:46:03.429Z,165843996342900
"""Big Kenny @ kjkGhe-DIG"" folds",2022-07-21T21:46:02.610Z,165843996261000
"""Mathematician @ SkC_IGMS6x"" posts a big blind of 500",2022-07-21T21:45:54.867Z,165843995486705
"""Big Kenny @ kjkGhe-DIG"" posts a small blind of 250",2022-07-21T21:45:54.867Z,165843995486704
"Your hand is 2♦, 8♥",2022-07-21T21:45:54.867Z,165843995486702
"Player stacks: #4 ""Big Kenny @ kjkGhe-DIG"" (6960) | #6 ""Mathematician @ SkC_IGMS6x"" (1040)",2022-07-21T21:45:54.867Z,165843995486701
"-- starting hand #51  (No Limit Texas Hold'em) (dealer: ""Big Kenny @ kjkGhe-DIG"") --",2022-07-21T21:45:54.867Z,165843995486700
"""Big Kenny @ kjkGhe-DIG"" shows a 8♠, Q♠.",2022-07-21T21:45:51.620Z,165843995162000
"-- ending hand #50 --",2022-07-21T21:45:51.255Z,165843995125502
"""Big Kenny @ kjkGhe-DIG"" collected 2000 from pot",2022-07-21T21:45:51.255Z,165843995125501
"Uncalled bet of 500 returned to ""Big Kenny @ kjkGhe-DIG""",2022-07-21T21:45:51.255Z,165843995125500
"""Mathematician @ SkC_IGMS6x"" folds",2022-07-21T21:45:50.425Z,165843995042500
"""Big Kenny @ kjkGhe-DIG"" bets 500",2022-07-21T21:45:43.890Z,165843994389000
"Turn: 9♥, 2♦, 6♥ [4♠]",2022-07-21T21:45:42.409Z,165843994240900
"""Big Kenny @ kjkGhe-DIG"" calls 500",2022-07-21T21:45:41.540Z,165843994154000
"""Mathematician @ SkC_IGMS6x"" bets 500",2022-07-21T21:45:40.213Z,165843994021300
"""Big Kenny @ kjkGhe-DIG"" checks",2022-07-21T21:45:38.542Z,165843993854200
"Flop:  [9♥, 2♦, 6♥]",2022-07-21T21:45:36.808Z,165843993680800
"""Big Kenny @ kjkGhe-DIG"" checks",2022-07-21T21:45:35.947Z,165843993594700
"""Mathematician @ SkC_IGMS6x"" calls 500",2022-07-21T21:45:34.877Z,165843993487700
"""Big Kenny @ kjkGhe-DIG"" posts a big blind of 500",2022-07-21T21:45:32.845Z,165843993284505
"""Mathematician @ SkC_IGMS6x"" posts a small blind of 250",2022-07-21T21:45:32.845Z,165843993284504
"Your hand is 8♠, Q♠",2022-07-21T21:45:32.845Z,165843993284502
"Player stacks: #4 ""Big Kenny @ kjkGhe-DIG"" (5960) | #6 ""Mathematician @ SkC_IGMS6x"" (2040)",2022-07-21T21:45:32.845Z,165843993284501
